"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2010","2010",80895,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2011","2011",84313,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2012","2012",87306,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2013","2013",90205,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2014","2014",92708,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2015","2015",95206,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2016","2016",97169,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2017","2017",99811,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2018","2018",102909,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2019","2019",104593,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2020","2020",105504,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2021","2021",107303,,
